BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
АО СЗ 20 ДНЕЙ;RDM_2403189683;г. Москва, ул. Люблинская, вл. 72, корпус 11;30.09.2025 0:00:00;30.06.2023 0:00:00
ООО СЗ ТАЛИСМАН ДМК;RDM_3661090939;г. Москва, Дмитровское шоссе, владение 71, корп.2, стр. 1-6;30.06.2021 0:00:00;31.12.2021 0:00:00
ЗАО ВЕКТОРСТРОЙФИНАНС;RDM_3079913872;г. Москва, Рязанский пр-т, корпус 22 (5-я очередь строительства);30.06.2023 0:00:00;
АО СЗ 20 ДНЕЙ;RDM_2403189683;г. Москва, ул. Люблинская, вл. 72, корпус 11;30.09.2025 0:00:00;30.06.2023 0:00:00
ООО Студия;RDM_3502658745;Москва, ВАО, Измайлово, ул. Никитинская, вл. 10/1;30.09.2020 0:00:00;31.03.2022 0:00:00
ООО СЗ СК АЛЬФАСТРОЙИНВЕСТ;04666; Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, в районе ул. им. Кирилла Россинского литер 1;31.12.2021 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ИНВЕСТ-СТРОЙ (5029169930);04112;Московская область, городской округ Мытищи, г. Мытищи, мкр. №36, 36а, 37, корпус 4;31.12.2024 0:00:00;
ООО СЗ Кутузовское-1;;Московская область, Солнечногорский район, сельское поселение Кутузовское, д. Рузино, корпус IV.01А, 4-й этап 1-ой очереди;;
АО СЗНИИМОССТРОЙ;RDM_3570244537;г. Москва, ЗАО, район Раменки, ул. Винницкая, вл. 8. 1 корпус ;30.06.2023 0:00:00;31.12.2022 0:00:00
ООО РАФИНАД-СИТИ;;Московская область, городской округ Химки, квартал Свистуха, корпус 8;;
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 31;;31.05.2023 0:00:00
ООО СЗ КОНТИНЕНТ;RDM_3830701347;Российская Федерация, Смоленская область, городской округ город Смоленск, г. Смоленск, Краснинское шоссе, дом № 32, корпус № 2, дом № 2, 2-я очередь строительства;31.03.2023 0:00:00;
АО СЗ 20 ДНЕЙ;RDM_2403189683;г. Москва, ул. Люблинская, вл. 72, корпус 3;31.03.2023 0:00:00;30.06.2023 0:00:00
ООО СЗ СМТ;RDM_3688051206;г. Москва, САО, Головинский, ул. Михалковская, вл. 48 (1-ый этап строительства), корпус 1;31.03.2023 0:00:00;30.06.2023 0:00:00
АО СЗ 20 ДНЕЙ;RDM_2403189683;г. Москва, ул. Люблинская, вл. 72, корпус 11;30.09.2025 0:00:00;30.06.2023 0:00:00
